Order Date,Category,Sales,Profit,Month
2024-04-29,Furniture,1927,1661,2024-04
2024-04-30,Technology,3241,1201,2024-04
2024-05-01,Office Supplies,3586,446,2024-05
2024-05-02,Furniture,1910,330,2024-05
2024-05-03,Office Supplies,3023,1420,2024-05
2024-05-04,Office Supplies,2314,-446,2024-05
2024-05-05,Technology,4286,299,2024-05
2024-05-06,Office Supplies,813,277,2024-05
2024-05-07,Technology,3702,981,2024-05
2024-05-08,Office Supplies,4234,1401,2024-05
2024-05-09,Furniture,3622,1709,2024-05
2024-05-10,Office Supplies,4368,1634,2024-05
2024-05-11,Technology,4848,-446,2024-05
2024-05-12,Technology,4949,1323,2024-05
2024-05-13,Furniture,1343,701,2024-05
2024-05-14,Office Supplies,3809,332,2024-05
2024-05-15,Office Supplies,1181,-188,2024-05
2024-05-16,Furniture,555,1358,2024-05
2024-05-17,Office Supplies,994,1507,2024-05
2024-05-18,Office Supplies,1484,1506,2024-05
2024-05-19,Technology,2058,1990,2024-05
2024-05-20,Office Supplies,3172,1290,2024-05
2024-05-21,Office Supplies,2096,-173,2024-05
2024-05-22,Furniture,4385,787,2024-05
2024-05-23,Furniture,604,1643,2024-05
2024-05-24,Technology,1314,611,2024-05
2024-05-25,Office Supplies,1631,811,2024-05
2024-05-26,Office Supplies,3540,-49,2024-05
2024-05-27,Office Supplies,923,1023,2024-05
2024-05-28,Technology,1028,-336,2024-05
2024-05-29,Technology,233,-319,2024-05
2024-05-30,Furniture,2205,409,2024-05
2024-05-31,Technology,3727,322,2024-05
2024-06-01,Office Supplies,4880,443,2024-06
2024-06-02,Office Supplies,1952,1501,2024-06
2024-06-03,Technology,4275,1554,2024-06
2024-06-04,Office Supplies,3033,-171,2024-06
2024-06-05,Office Supplies,3384,274,2024-06
2024-06-06,Technology,4398,1698,2024-06
2024-06-07,Technology,2911,-354,2024-06
2024-06-08,Office Supplies,1350,414,2024-06
2024-06-09,Office Supplies,3612,1071,2024-06
2024-06-10,Office Supplies,1356,808,2024-06
2024-06-11,Furniture,3476,-419,2024-06
2024-06-12,Furniture,3586,13,2024-06
2024-06-13,Furniture,3684,1420,2024-06
2024-06-14,Technology,1496,1439,2024-06
2024-06-15,Furniture,3737,245,2024-06
2024-06-16,Technology,3430,909,2024-06
2024-06-17,Technology,2803,206,2024-06
2024-06-18,Furniture,570,-30,2024-06
2024-06-19,Furniture,1453,-105,2024-06
2024-06-20,Furniture,2883,1055,2024-06
2024-06-21,Office Supplies,2931,1808,2024-06
2024-06-22,Furniture,457,304,2024-06
2024-06-23,Office Supplies,3119,433,2024-06
2024-06-24,Technology,767,779,2024-06
2024-06-25,Office Supplies,4568,1257,2024-06
2024-06-26,Furniture,1245,404,2024-06
2024-06-27,Technology,4285,576,2024-06
2024-06-28,Technology,3819,1390,2024-06
2024-06-29,Technology,2845,1023,2024-06
2024-06-30,Office Supplies,639,887,2024-06
2024-07-01,Furniture,2879,803,2024-07
2024-07-02,Technology,4236,92,2024-07
2024-07-03,Technology,4935,1606,2024-07
2024-07-04,Technology,3875,-373,2024-07
2024-07-05,Office Supplies,2608,235,2024-07
2024-07-06,Office Supplies,2879,20,2024-07
2024-07-07,Furniture,1024,-264,2024-07
2024-07-08,Office Supplies,3056,804,2024-07
2024-07-09,Technology,1681,1281,2024-07
2024-07-10,Furniture,3424,801,2024-07
2024-07-11,Technology,4585,1551,2024-07
2024-07-12,Technology,355,-59,2024-07
2024-07-13,Office Supplies,4904,1576,2024-07
2024-07-14,Furniture,1938,304,2024-07
2024-07-15,Office Supplies,2044,-426,2024-07
2024-07-16,Office Supplies,109,1675,2024-07
2024-07-17,Furniture,2971,1589,2024-07
2024-07-18,Technology,897,879,2024-07
2024-07-19,Technology,1115,-460,2024-07
2024-07-20,Furniture,1924,1581,2024-07
2024-07-21,Technology,4569,1200,2024-07
2024-07-22,Furniture,3236,901,2024-07
2024-07-23,Furniture,2293,87,2024-07
2024-07-24,Office Supplies,323,1122,2024-07
2024-07-25,Furniture,4258,-159,2024-07
2024-07-26,Office Supplies,4025,1574,2024-07
2024-07-27,Technology,4884,145,2024-07
2024-07-28,Technology,4100,230,2024-07
2024-07-29,Technology,1733,-333,2024-07
2024-07-30,Technology,2252,109,2024-07
2024-07-31,Office Supplies,610,1815,2024-07
2024-08-01,Technology,484,1272,2024-08
2024-08-02,Furniture,504,1540,2024-08
2024-08-03,Furniture,4713,-46,2024-08
2024-08-04,Furniture,4671,1208,2024-08
2024-08-05,Office Supplies,2100,201,2024-08
2024-08-06,Technology,2856,1099,2024-08
2024-08-07,Technology,1768,-371,2024-08
2024-08-08,Technology,1560,1345,2024-08
2024-08-09,Office Supplies,3736,886,2024-08
2024-08-10,Furniture,2824,192,2024-08
2024-08-11,Furniture,4909,894,2024-08
2024-08-12,Technology,4278,293,2024-08
2024-08-13,Furniture,2148,-472,2024-08
2024-08-14,Furniture,4246,-352,2024-08
2024-08-15,Office Supplies,4880,819,2024-08
2024-08-16,Office Supplies,816,1558,2024-08
2024-08-17,Office Supplies,4644,636,2024-08
2024-08-18,Office Supplies,4683,-314,2024-08
2024-08-19,Technology,1923,750,2024-08
2024-08-20,Office Supplies,2181,833,2024-08
2024-08-21,Furniture,3519,-403,2024-08
2024-08-22,Technology,1674,-446,2024-08
2024-08-23,Furniture,349,257,2024-08
2024-08-24,Furniture,773,-95,2024-08
2024-08-25,Furniture,4633,1616,2024-08
2024-08-26,Office Supplies,2265,812,2024-08
2024-08-27,Office Supplies,870,1285,2024-08
2024-08-28,Technology,4062,250,2024-08
2024-08-29,Technology,4463,1262,2024-08
2024-08-30,Office Supplies,2084,-136,2024-08
2024-08-31,Furniture,1177,1526,2024-08
2024-09-01,Technology,335,-19,2024-09
2024-09-02,Office Supplies,488,1748,2024-09
2024-09-03,Office Supplies,3137,-347,2024-09
2024-09-04,Office Supplies,4958,1024,2024-09
2024-09-05,Furniture,1948,1620,2024-09
2024-09-06,Office Supplies,4819,1843,2024-09
2024-09-07,Office Supplies,2914,540,2024-09
2024-09-08,Office Supplies,3474,1164,2024-09
2024-09-09,Office Supplies,3378,740,2024-09
2024-09-10,Technology,1352,-440,2024-09
2024-09-11,Technology,4081,438,2024-09
2024-09-12,Office Supplies,4773,1139,2024-09
2024-09-13,Furniture,2222,1589,2024-09
2024-09-14,Technology,4630,-476,2024-09
2024-09-15,Office Supplies,2250,562,2024-09
2024-09-16,Technology,4959,-370,2024-09
2024-09-17,Technology,1429,752,2024-09
2024-09-18,Furniture,1458,-393,2024-09
2024-09-19,Office Supplies,2582,-329,2024-09
2024-09-20,Office Supplies,4642,958,2024-09
2024-09-21,Furniture,2117,-399,2024-09
2024-09-22,Furniture,1431,1822,2024-09
2024-09-23,Office Supplies,4444,1136,2024-09
2024-09-24,Office Supplies,4361,540,2024-09
2024-09-25,Furniture,1458,-171,2024-09
2024-09-26,Technology,4737,1020,2024-09
2024-09-27,Technology,4954,-489,2024-09
2024-09-28,Furniture,3277,841,2024-09
2024-09-29,Technology,2228,-285,2024-09
2024-09-30,Furniture,2280,-162,2024-09
2024-10-01,Technology,4992,1299,2024-10
2024-10-02,Technology,237,1250,2024-10
2024-10-03,Office Supplies,3572,1008,2024-10
2024-10-04,Office Supplies,2932,1921,2024-10
2024-10-05,Technology,3679,209,2024-10
2024-10-06,Technology,3131,723,2024-10
2024-10-07,Office Supplies,4264,612,2024-10
2024-10-08,Office Supplies,2693,791,2024-10
2024-10-09,Office Supplies,4400,-12,2024-10
2024-10-10,Furniture,3918,1061,2024-10
2024-10-11,Technology,4238,-454,2024-10
2024-10-12,Office Supplies,3923,277,2024-10
2024-10-13,Technology,4142,539,2024-10
2024-10-14,Furniture,2006,210,2024-10
2024-10-15,Furniture,860,-100,2024-10
2024-10-16,Office Supplies,3545,1317,2024-10
2024-10-17,Furniture,999,-251,2024-10
2024-10-18,Technology,4555,-110,2024-10
2024-10-19,Office Supplies,3047,-166,2024-10
2024-10-20,Technology,1819,128,2024-10
2024-10-21,Technology,380,-364,2024-10
2024-10-22,Furniture,3366,1021,2024-10
2024-10-23,Furniture,1987,326,2024-10
2024-10-24,Furniture,3366,226,2024-10
2024-10-25,Furniture,766,1000,2024-10
2024-10-26,Furniture,4288,489,2024-10
2024-10-27,Office Supplies,771,1919,2024-10
2024-10-28,Technology,2069,434,2024-10
2024-10-29,Technology,4256,-99,2024-10
2024-10-30,Technology,3222,966,2024-10
2024-10-31,Technology,4799,114,2024-10
2024-11-01,Furniture,4877,796,2024-11
2024-11-02,Technology,4000,682,2024-11
2024-11-03,Office Supplies,623,1735,2024-11
2024-11-04,Office Supplies,2493,621,2024-11
2024-11-05,Technology,3217,-370,2024-11
2024-11-06,Technology,2693,694,2024-11
2024-11-07,Office Supplies,2068,-318,2024-11
2024-11-08,Office Supplies,1853,-137,2024-11
2024-11-09,Furniture,2396,-462,2024-11
2024-11-10,Office Supplies,2361,872,2024-11
2024-11-11,Furniture,2386,420,2024-11
2024-11-12,Furniture,4302,-485,2024-11
2024-11-13,Furniture,2978,-8,2024-11
2024-11-14,Furniture,4243,949,2024-11
2024-11-15,Furniture,3744,631,2024-11
2024-11-16,Technology,4532,-190,2024-11
2024-11-17,Office Supplies,2155,238,2024-11
2024-11-18,Furniture,4820,45,2024-11
2024-11-19,Office Supplies,1376,1961,2024-11
2024-11-20,Office Supplies,2866,-250,2024-11
2024-11-21,Furniture,402,258,2024-11
2024-11-22,Technology,738,1304,2024-11
2024-11-23,Furniture,155,797,2024-11
2024-11-24,Technology,4921,1131,2024-11
2024-11-25,Office Supplies,625,1414,2024-11
2024-11-26,Technology,4669,313,2024-11
2024-11-27,Technology,4223,-472,2024-11
2024-11-28,Technology,2225,457,2024-11
2024-11-29,Office Supplies,3387,1532,2024-11
2024-11-30,Office Supplies,464,-24,2024-11
2024-12-01,Technology,4721,-183,2024-12
2024-12-02,Technology,1746,-256,2024-12
2024-12-03,Furniture,1018,247,2024-12
2024-12-04,Technology,2897,196,2024-12
2024-12-05,Furniture,1631,-229,2024-12
2024-12-06,Technology,3445,1271,2024-12
2024-12-07,Furniture,2006,762,2024-12
2024-12-08,Office Supplies,3186,1924,2024-12
2024-12-09,Technology,4680,-235,2024-12
2024-12-10,Technology,2175,420,2024-12
2024-12-11,Technology,813,-161,2024-12
2024-12-12,Technology,1162,-112,2024-12
2024-12-13,Furniture,2076,1550,2024-12
2024-12-14,Technology,1396,665,2024-12
2024-12-15,Office Supplies,225,-125,2024-12
2024-12-16,Office Supplies,4732,1533,2024-12
2024-12-17,Technology,3696,1871,2024-12
2024-12-18,Office Supplies,3383,-355,2024-12
2024-12-19,Technology,1703,1481,2024-12
2024-12-20,Technology,166,-208,2024-12
2024-12-21,Office Supplies,332,-69,2024-12
2024-12-22,Technology,2256,204,2024-12
2024-12-23,Office Supplies,1269,1498,2024-12
2024-12-24,Furniture,2258,-102,2024-12
2024-12-25,Technology,4306,463,2024-12
2024-12-26,Furniture,1593,1734,2024-12
2024-12-27,Office Supplies,4818,1541,2024-12
2024-12-28,Furniture,4107,1328,2024-12
2024-12-29,Furniture,2572,1608,2024-12
2024-12-30,Office Supplies,2760,438,2024-12
2024-12-31,Furniture,2839,209,2024-12
2025-01-01,Furniture,1861,306,2025-01
2025-01-02,Office Supplies,3614,963,2025-01
2025-01-03,Furniture,2075,825,2025-01
2025-01-04,Office Supplies,2462,-490,2025-01
2025-01-05,Furniture,976,585,2025-01
2025-01-06,Office Supplies,3912,1368,2025-01
2025-01-07,Office Supplies,3548,1773,2025-01
2025-01-08,Furniture,1412,271,2025-01
2025-01-09,Furniture,1560,1094,2025-01
2025-01-10,Furniture,2809,1107,2025-01
2025-01-11,Technology,2424,833,2025-01
2025-01-12,Technology,1833,384,2025-01
2025-01-13,Technology,1705,889,2025-01
2025-01-14,Office Supplies,2663,-275,2025-01
2025-01-15,Furniture,3521,324,2025-01
2025-01-16,Office Supplies,3617,1765,2025-01
2025-01-17,Technology,2497,436,2025-01
2025-01-18,Furniture,3835,1806,2025-01
2025-01-19,Office Supplies,2970,1411,2025-01
2025-01-20,Furniture,1260,1296,2025-01
2025-01-21,Office Supplies,4954,-447,2025-01
2025-01-22,Furniture,342,226,2025-01
2025-01-23,Technology,2690,1044,2025-01
2025-01-24,Technology,1163,543,2025-01
2025-01-25,Furniture,4424,1413,2025-01
2025-01-26,Office Supplies,2695,1276,2025-01
2025-01-27,Technology,1019,1096,2025-01
2025-01-28,Technology,105,1414,2025-01
2025-01-29,Technology,567,1966,2025-01
2025-01-30,Furniture,4270,349,2025-01
2025-01-31,Furniture,103,1609,2025-01
2025-02-01,Office Supplies,745,1763,2025-02
2025-02-02,Office Supplies,217,-498,2025-02
2025-02-03,Office Supplies,3028,-341,2025-02
2025-02-04,Furniture,2651,280,2025-02
2025-02-05,Furniture,4389,392,2025-02
2025-02-06,Office Supplies,946,1530,2025-02
2025-02-07,Office Supplies,2862,1876,2025-02
2025-02-08,Furniture,1241,79,2025-02
2025-02-09,Office Supplies,1910,1433,2025-02
2025-02-10,Technology,823,880,2025-02
2025-02-11,Furniture,324,790,2025-02
2025-02-12,Office Supplies,4727,1140,2025-02
2025-02-13,Furniture,4308,451,2025-02
2025-02-14,Technology,4754,487,2025-02
2025-02-15,Furniture,2148,718,2025-02
2025-02-16,Furniture,4849,420,2025-02
2025-02-17,Furniture,4515,855,2025-02
2025-02-18,Furniture,1673,-331,2025-02
2025-02-19,Technology,1928,20,2025-02
2025-02-20,Furniture,2017,986,2025-02
2025-02-21,Furniture,4334,-461,2025-02
2025-02-22,Office Supplies,2126,1060,2025-02
2025-02-23,Furniture,3844,918,2025-02
2025-02-24,Office Supplies,1001,454,2025-02
2025-02-25,Technology,4885,483,2025-02
2025-02-26,Technology,2139,474,2025-02
2025-02-27,Technology,109,-463,2025-02
2025-02-28,Technology,360,1875,2025-02
2025-03-01,Office Supplies,1773,774,2025-03
2025-03-02,Furniture,2319,699,2025-03
2025-03-03,Technology,2160,1125,2025-03
2025-03-04,Furniture,3813,413,2025-03
2025-03-05,Office Supplies,1719,-47,2025-03
2025-03-06,Office Supplies,420,-464,2025-03
2025-03-07,Office Supplies,1442,1211,2025-03
2025-03-08,Technology,2476,295,2025-03
2025-03-09,Furniture,2932,472,2025-03
2025-03-10,Furniture,2924,92,2025-03
2025-03-11,Furniture,2094,637,2025-03
2025-03-12,Office Supplies,3058,824,2025-03
2025-03-13,Technology,2138,1771,2025-03
2025-03-14,Office Supplies,3590,-183,2025-03
2025-03-15,Office Supplies,3777,1896,2025-03
2025-03-16,Furniture,1218,1662,2025-03
2025-03-17,Office Supplies,1704,846,2025-03
2025-03-18,Furniture,4127,1091,2025-03
2025-03-19,Technology,335,1389,2025-03
2025-03-20,Furniture,2069,1587,2025-03
2025-03-21,Technology,4529,1496,2025-03
2025-03-22,Furniture,2008,1272,2025-03
2025-03-23,Office Supplies,475,812,2025-03
2025-03-24,Office Supplies,3630,785,2025-03
2025-03-25,Technology,2735,-285,2025-03
2025-03-26,Technology,1670,1883,2025-03
2025-03-27,Technology,2660,1639,2025-03
2025-03-28,Furniture,3491,1900,2025-03
2025-03-29,Furniture,3065,1204,2025-03
2025-03-30,Technology,3743,-138,2025-03
2025-03-31,Office Supplies,3950,1216,2025-03
2025-04-01,Furniture,972,693,2025-04
2025-04-02,Furniture,1352,-145,2025-04
2025-04-03,Furniture,1414,-310,2025-04
2025-04-04,Technology,4920,1969,2025-04
2025-04-05,Technology,2998,199,2025-04
2025-04-06,Technology,177,1554,2025-04
2025-04-07,Technology,2721,1680,2025-04
2025-04-08,Technology,4327,56,2025-04
2025-04-09,Office Supplies,700,325,2025-04
2025-04-10,Office Supplies,1165,554,2025-04
2025-04-11,Technology,2236,-75,2025-04
2025-04-12,Furniture,2549,1910,2025-04
2025-04-13,Technology,2443,1074,2025-04
2025-04-14,Office Supplies,1963,1629,2025-04
2025-04-15,Office Supplies,1418,1903,2025-04
2025-04-16,Furniture,4811,88,2025-04
2025-04-17,Office Supplies,3697,1512,2025-04
2025-04-18,Technology,3862,1047,2025-04
2025-04-19,Furniture,4770,-206,2025-04
2025-04-20,Technology,2290,1485,2025-04
2025-04-21,Technology,1092,747,2025-04
2025-04-22,Furniture,2812,1048,2025-04
2025-04-23,Technology,2292,1190,2025-04
2025-04-24,Office Supplies,1348,636,2025-04
2025-04-25,Technology,3154,756,2025-04
2025-04-26,Furniture,4698,1564,2025-04
2025-04-27,Furniture,4133,-141,2025-04
2025-04-28,Furniture,2097,199,2025-04
2025-04-29,Technology,3787,-53,2025-04
2025-04-30,Furniture,2251,1912,2025-04
2025-05-01,Furniture,4118,174,2025-05
2025-05-02,Technology,3210,507,2025-05
2025-05-03,Office Supplies,2070,849,2025-05
2025-05-04,Technology,297,1961,2025-05
2025-05-05,Furniture,2726,85,2025-05
2025-05-06,Furniture,1302,756,2025-05
2025-05-07,Technology,2135,747,2025-05
2025-05-08,Office Supplies,577,493,2025-05
2025-05-09,Furniture,1354,935,2025-05
2025-05-10,Furniture,1022,71,2025-05
2025-05-11,Furniture,519,1882,2025-05
2025-05-12,Technology,2304,745,2025-05
2025-05-13,Furniture,2697,1584,2025-05
2025-05-14,Office Supplies,1220,488,2025-05
